"id","news_source","rating","rating_num","type","agree","disagree","perc_agree","url","editorial_review","blind_survey","third_party_analysis","independent_research","confidence_level","twitter","wiki","facebook","screen_name"
"135","Diplomatic Courier","center",3,"News Media",283,218,0.564870259481038,"https://www.allsides.com/news-source/diplomatic-courier","0",0,0,1,"Medium","https://twitter.com/diplocourier","https://en.wikipedia.org/wiki/Diplomatic_courier","https://www.facebook.com/diplocourier","diplocourier"
"136","Drew Litton (cartoonist)","center",3,"Author",30,72,0.294117647058824,"https://www.allsides.com/news-source/drew-litton-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"137","Drew Sheneman (cartoonist)","left",1,"Author",57,47,0.548076923076923,"https://www.allsides.com/news-source/drew-sheneman-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"138","Drudge Report","right-center",4,"News Media",1894,1203,0.611559573781079,"https://www.allsides.com/news-source/drudge-report","0",0,1,1,"Medium","https://twitter.com/drudge_report","https://en.wikipedia.org/wiki/Drudge_Report","https://www.facebook.com/newdrudge/","drudge_report"
"139","Duke Chronicle","center",3,"News Media",328,319,0.506955177743431,"https://www.allsides.com/news-source/duke-chronicle","0",0,0,1,"Low or Initial Rating","https://twitter.com/DukeChronicle","http://en.wikipedia.org/wiki/The_Chronicle_(Duke_University)","https://www.facebook.com/dukechronicle","DukeChronicle"
"140","E J Dionne","left",1,"Author",474,379,0.555685814771395,"https://www.allsides.com/news-source/e-j-dionne","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"141","Economic Policy Institute","left",1,"Think Tank / Policy Group",138,152,0.475862068965517,"https://www.allsides.com/news-source/economic-policy-institute-0","0",0,0,0,NA,NA,NA,NA,NA
"142","Ed Rogers","right",5,"Author",108,64,0.627906976744186,"https://www.allsides.com/news-source/ed-rogers","0",0,0,0,NA,NA,NA,NA,NA
"143","EdVotes.org","left",1,"Think Tank / Policy Group",87,37,0.701612903225806,"https://www.allsides.com/news-source/edvotesorg","0",0,0,0,NA,NA,NA,NA,NA
"144","Edward Morrissey","right",5,"Author",125,123,0.504032258064516,"https://www.allsides.com/news-source/edward-morrissey","checked",0,0,0,NA,NA,NA,NA,NA
"145","Eli Parser","left",1,"Author",13,9,0.590909090909091,"https://www.allsides.com/news-source/eli-parser-media-bias","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"146","Environmental Defense Fund","left-center",2,"Think Tank / Policy Group",242,161,0.600496277915633,"https://www.allsides.com/news-source/environmental-defense-fund","0",0,0,0,NA,NA,NA,NA,NA
"147","Eric Allie (cartoonist)","right",5,"Author",99,87,0.532258064516129,"https://www.allsides.com/news-source/eric-allie-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"148","Erik Wemple","center",3,"Author",167,221,0.430412371134021,"https://www.allsides.com/news-source/erik-wemple","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"149","Esquire","left",1,"News Media",841,460,0.646425826287471,"https://www.allsides.com/news-source/esquire","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"150","Estes Park Trail Gazette","center",3,"News Media",187,258,0.420224719101124,"https://www.allsides.com/news-source/estes-park-trail-gazette","0",0,0,0,NA,NA,NA,NA,NA
"151","Eugene Robinson","left",1,"Author",177,125,0.586092715231788,"https://www.allsides.com/news-source/eugene-robinson","checked",0,0,0,NA,NA,NA,NA,NA
"152","Eurek Alert","center",3,"News Media",278,309,0.473594548551959,"https://www.allsides.com/news-source/eurek-alert","0",0,0,0,"Low or Initial Rating","https://twitter.com/EurekAlertAAAS",NA,"https://www.facebook.com/EurekAlert?_rdr","EurekAlertAAAS"
"153","Ezra Klein","left",1,"Author",264,197,0.572668112798265,"https://www.allsides.com/news-source/ezra-klein","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"154","Fact Checker Blog","center",3,"News Media",667,550,0.548069022185703,"https://www.allsides.com/news-source/fact-checker-blog","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"155","FactCheck.org","center",3,"News Media",5490,4018,0.577408498106857,"https://www.allsides.com/news-source/factcheckorg-media-bias","0",0,0,0,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/FactCheck.org",NA,NA
"156","FAIR","left-center",2,"Think Tank / Policy Group",88,112,0.44,"https://www.allsides.com/news-source/fairness-and-accuracy-reporting","0",0,0,0,NA,NA,NA,NA,NA
"157","Fair.org","center",3,"News Media",420,425,0.497041420118343,"https://www.allsides.com/news-source/fairorg","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"158","Falls Church News - Press","left",1,"News Media",327,404,0.447332421340629,"https://www.allsides.com/news-source/falls-church-news-press","checked",0,0,0,NA,NA,NA,NA,NA
"159","Family Research Council","right-center",4,"Think Tank / Policy Group",277,468,0.371812080536913,"https://www.allsides.com/news-source/family-research-council","0",0,0,0,NA,NA,NA,NA,NA
"160","Fareed Zakaria","center",3,"Author",190,377,0.335097001763668,"https://www.allsides.com/news-source/fareed-zakaria","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"161","Federation of American Scientists","left-center",2,"Think Tank / Policy Group",179,206,0.464935064935065,"https://www.allsides.com/news-source/federation-american-scientists","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"162","Financial Times","center",3,"News Media",340,216,0.611510791366906,"https://www.allsides.com/news-source/financial-times-media-bias","1",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"163","Fiscal Times","right-center",4,"News Media",653,525,0.554329371816638,"https://www.allsides.com/news-source/fiscal-times","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"164","FiveThirtyEight","center",3,"News Media",3326,2019,0.622263797942002,"https://www.allsides.com/news-source/fivethirtyeight-0","0",0,0,1,"Low or Initial Rating","https://twitter.com/FiveThirtyEight","https://en.wikipedia.org/wiki/FiveThirtyEight","https://www.facebook.com/fivethirtyeight","FiveThirtyEight"
"165","Food Democracy Now","left-center",2,"Think Tank / Policy Group",111,105,0.513888888888889,"https://www.allsides.com/news-source/food-democracy-now","0",0,0,0,NA,NA,NA,NA,NA
"166","Forbes","center",3,"News Media",3972,2443,0.619173811379579,"https://www.allsides.com/news-source/forbes","0",0,0,0,NA,"https://twitter.com/forbes/","https://en.wikipedia.org/wiki/Forbes","https://www.facebook.com/forbes/","forbes"
"167","Foreign Affairs","center",3,"News Media",771,427,0.643572621035058,"https://www.allsides.com/news-source/foreign-affairs","0",0,0,1,"Low or Initial Rating","https://twitter.com/ForeignAffairs?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://en.wikipedia.org/wiki/Foreign_Affairs","https://www.facebook.com/ForeignAffairs/","ForeignAffairs"
"168","Fox News Latino","right",5,"News Media",1587,841,0.653624382207578,"https://www.allsides.com/news-source/fox-news-latino","checked",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"169","Fox News Opinion","right",5,"News Media",6195,1550,0.799870884441575,"https://www.allsides.com/news-source/fox-news-editorial-media-bias","1",0,0,0,"Low or Initial Rating","https://twitter.com/FoxNews","https://en.wikipedia.org/wiki/Fox_News","https://www.facebook.com/FoxNews/","FoxNews"
"170","Fox Online News","right-center",4,"News Media",22692,32082,0.414284149413956,"https://www.allsides.com/news-source/fox-news-media-bias","1",1,0,1,"High","https://twitter.com/FoxNews","https://en.wikipedia.org/wiki/Fox_News","https://www.facebook.com/FoxNews/","FoxNews"
"171","Frank Bruni","left-center",2,"Author",64,90,0.415584415584416,"https://www.allsides.com/news-source/frank-bruni","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"172","Frank Miniter","right",5,"Author",276,272,0.503649635036496,"https://www.allsides.com/news-source/frank-miniter","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"173","Freakonomics","center",3,"Think Tank / Policy Group",295,200,0.595959595959596,"https://www.allsides.com/news-source/freakonomics","0",0,0,0,NA,NA,NA,NA,NA
"174","Freedom House","right-center",4,"Think Tank / Policy Group",92,131,0.412556053811659,"https://www.allsides.com/news-source/freedom-house","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"175","Froma Harrop","left-center",2,"Author",61,51,0.544642857142857,"https://www.allsides.com/news-source/froma-harrop","checked",0,0,0,NA,NA,NA,NA,NA
"176","FrontPage Magazine","right",5,"News Media",443,344,0.56289707750953,"https://www.allsides.com/news-source/frontpage-magazine","checked",0,0,0,"Medium",NA,NA,NA,NA
"177","Gary Markstein (cartoonist)","center",3,"Author",36,65,0.356435643564356,"https://www.allsides.com/news-source/gary-markstein-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"178","Gary Varvel (cartoonist)","right",5,"Author",36,14,0.72,"https://www.allsides.com/news-source/gary-varvel-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"179","Gell","allsides",NA,"Think Tank / Policy Group",27,13,0.675,"https://www.allsides.com/news-source/gell-media-bias","0",0,0,1,"Medium",NA,NA,NA,NA
"180","George Will","right",5,"Author",403,556,0.420229405630865,"https://www.allsides.com/news-source/george-will","0",0,0,1,NA,NA,NA,NA,NA
"181","Glenn Beck","right",5,"Author",510,183,0.735930735930736,"https://www.allsides.com/news-source/glenn-beck","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"182","Glenn McCoy (cartoonist)","right",5,"Author",24,18,0.571428571428571,"https://www.allsides.com/news-source/glenn-mccoy-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"183","Google News","left-center",2,"News Media",167,85,0.662698412698413,"https://www.allsides.com/news-source/google-news-media-bias","1",0,0,1,"Medium","https://twitter.com/Google","https://en.wikipedia.org/wiki/Google","https://www.facebook.com/Google/","Google"
"184","GOP.gov","right",5,"Think Tank / Policy Group",375,189,0.664893617021277,"https://www.allsides.com/news-source/gopgov","0",0,0,0,NA,NA,NA,NA,NA
"185","Grist","left-center",2,"News Media",409,461,0.470114942528736,"https://www.allsides.com/news-source/grist","checked",0,0,0,NA,NA,NA,NA,NA
"186","Grover Norquist","right",5,"Author",237,63,0.79,"https://www.allsides.com/news-source/grover-norquist","0",0,0,0,NA,NA,NA,NA,NA
"187","Guest Writer - Center","center",3,"Author",2,4,0.333333333333333,"https://www.allsides.com/news-source/guest-writer-center-media-bias","0",0,0,0,"High",NA,NA,NA,NA
"188","Guest Writer - Left","left-center",2,"Author",144,247,0.368286445012788,"https://www.allsides.com/news-source/guest-writer-left","0",0,0,0,"Medium",NA,NA,NA,NA
"189","Guest Writer - Right","right-center",4,"Author",200,307,0.394477317554241,"https://www.allsides.com/news-source/guest-writer-right","0",0,0,0,"Medium",NA,NA,NA,NA
"190","Hampton Roads Messanger","center",3,"News Media",332,331,0.500754147812971,"https://www.allsides.com/news-source/hampton-roads-messanger","checked",0,0,0,NA,NA,NA,NA,NA
"191","Harvard Business School","left-center",2,"News Media",612,708,0.463636363636364,"https://www.allsides.com/news-source/harvard-business-school","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"192","Healthcare.gov","left-center",2,"Think Tank / Policy Group",177,339,0.343023255813953,"https://www.allsides.com/news-source/healthcaregov","0",0,0,0,NA,NA,NA,NA,NA
"193","Heather Mac Donald","right",5,"Author",44,80,0.354838709677419,"https://www.allsides.com/news-source/heather-mcdonald","0",0,0,1,"Medium",NA,NA,NA,NA
"194","Henry A. Brechter","center",3,"Author",11,7,0.611111111111111,"https://www.allsides.com/news-source/henry-brechter-media-bias","1",0,0,1,"Medium",NA,NA,NA,NA
"195","Henry Payne (cartoonist)","right",5,"Author",56,79,0.414814814814815,"https://www.allsides.com/news-source/henry-payne-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"196","Herald Democrat","left",1,"News Media",398,304,0.566951566951567,"https://www.allsides.com/news-source/herald-democrat-0","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"197","Hirsh Joshi","left-center",2,"Author",0,0,NA,"https://www.allsides.com/news-source/hirsh-joshi-media-bias","0",0,0,0,NA,NA,NA,NA,NA
"198","Honolulu Civil Beat","center",3,"News Media",270,371,0.421216848673947,"https://www.allsides.com/news-source/honolulu-civil-beat","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"199","HotAir","right-center",4,"News Media",941,840,0.52835485682201,"https://www.allsides.com/news-source/hotair","0",0,0,1,"Low or Initial Rating","https://twitter.com/hotairblog","https://en.wikipedia.org/wiki/Hot_Air","https://facebook.com/hotaircom","hotairblog"
"200","How Do We Fix It?","center",3,"News Media",554,548,0.502722323049002,"https://www.allsides.com/news-source/how-do-we-fix-it","0",0,0,1,"Medium","https://twitter.com/fixitshow",NA,"https://www.facebook.com/profile.php?id=100009480370928","fixitshow"
"201","Howard Kurtz","center",3,"News Media",24,22,0.521739130434783,"https://www.allsides.com/news-source/howard-kurtz-media-bias","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"202","Howard Kurtz","center",3,"Author",372,286,0.565349544072948,"https://www.allsides.com/news-source/howard-kurtz","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"203","HuffPost","left",1,"News Media",20470,19857,0.507600366999777,"https://www.allsides.com/news-source/huffpost-media-bias","1",1,1,1,"High","https://twitter.com/HuffPost","https://en.wikipedia.org/wiki/HuffPost","https://www.facebook.com/HuffPost","HuffPost"
"204","Inacow","right",5,"News Media",330,221,0.598911070780399,"https://www.allsides.com/news-source/inacow","0",0,0,1,"Low or Initial Rating","https://twitter.com/inacowcom",NA,"https://www.facebook.com/inacowcom","inacowcom"
"205","Independent Institute","right-center",4,"Think Tank / Policy Group",164,200,0.450549450549451,"https://www.allsides.com/news-source/independent-institute","0",0,0,1,"Medium","https://twitter.com/IndependentInst","https://en.wikipedia.org/wiki/Independent_Institute","https://www.facebook.com/independentinstitute","IndependentInst"
"206","Independent Journal Review","right-center",4,"News Media",1143,1045,0.522394881170018,"https://www.allsides.com/news-source/independent-journal-review","0",0,0,1,"Medium","https://twitter.com/ijreview",NA,"https://www.facebook.com/IjReview","ijreview"
"207","Indiana Daily Student","center",3,"News Media",233,310,0.429097605893186,"https://www.allsides.com/news-source/indiana-daily-student","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"208","Indy Online","center",3,"News Media",225,252,0.471698113207547,"https://www.allsides.com/news-source/indy-online","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"209","Indy Week","left-center",2,"News Media",255,300,0.459459459459459,"https://www.allsides.com/news-source/indy-week","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"210","InfoWars","right",5,"News Media",4079,931,0.814171656686627,"https://www.allsides.com/news-source/infowars","0",0,0,1,"Medium","https://twitter.com/infowars","https://en.wikipedia.org/wiki/Alex_Jones_(radio_host) This is the page for Alex Jones//
https://en.wikipedia.org/wiki/InfoWars Page for Infowars","https://www.facebook.com/InfoWars-80256732576/","infowars"
"211","Inside Philanthropy","center",3,"News Media",256,272,0.484848484848485,"https://www.allsides.com/news-source/inside-philanthropy","0",0,0,0,NA,NA,NA,NA,NA
"212","Intellectual Conservative","right-center",4,"News Media",317,327,0.492236024844721,"https://www.allsides.com/news-source/intellectual-conservative","0",0,0,0,NA,NA,NA,NA,NA
"213","International Business Times","center",3,"News Media",945,705,0.572727272727273,"https://www.allsides.com/news-source/international-business-times","checked",0,0,0,NA,NA,"https://en.wikipedia.org/wiki/International_Business_Times",NA,NA
"214","Investor's Business Daily","right-center",4,"News Media",1067,850,0.5565988523735,"https://www.allsides.com/news-source/investors-business-daily","0",0,0,1,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/Investor%27s_Business_Daily",NA,NA
"215","IVN","center",3,"News Media",371,359,0.508219178082192,"https://www.allsides.com/news-source/ivn","0",0,0,1,"Medium","https://twitter.com/ivn",NA,"https://www.facebook.com/IVN","ivn"
"216","Jack Ohman (cartoonist)","left",1,"Author",38,26,0.59375,"https://www.allsides.com/news-source/jack-ohman-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"217","Jack Welch","right-center",4,"Author",78,58,0.573529411764706,"https://www.allsides.com/news-source/jack-welch","checked",0,0,0,NA,NA,NA,NA,NA
"218","Jacobin","left",1,"News Media",461,74,0.861682242990654,"https://www.allsides.com/news-source/jacobin-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"219","James Hohmann","right-center",4,"Author",27,37,0.421875,"https://www.allsides.com/news-source/james-hohmann","checked",0,0,0,NA,NA,NA,NA,NA
"220","James Pethokoukis","right-center",4,"Author",59,67,0.468253968253968,"https://www.allsides.com/news-source/james-pethokoukis","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"221","James Poulos","right",5,"Author",47,27,0.635135135135135,"https://www.allsides.com/news-source/james-poulos","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"222","Jeff Danziger (cartoonist)","left",1,"Author",39,39,0.5,"https://www.allsides.com/news-source/jeff-danziger-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"223","Jeff Jacoby","right",5,"Author",69,48,0.58974358974359,"https://www.allsides.com/news-source/jeff-jacoby","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"224","Jeff Stahler (cartoonist)","left",1,"Author",51,32,0.614457831325301,"https://www.allsides.com/news-source/jeff-stahler-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"225","Jen Sorensen (cartoonist)","left",1,"Author",47,29,0.618421052631579,"https://www.allsides.com/news-source/jen-sorensen-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"226","Jennifer Rubin","left-center",2,"Author",111,189,0.37,"https://www.allsides.com/news-source/jennifer-rubin","0",0,0,0,NA,NA,NA,NA,NA
"227","Jeremy E Sherman","left-center",2,"Author",11,11,0.5,"https://www.allsides.com/news-source/jeremy-e-sherman-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"228","Jerry Bowyer","right",5,"Author",123,217,0.361764705882353,"https://www.allsides.com/news-source/jerry-bowyer","checked",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"229","Jerry Holbert (cartoonist)","right",5,"Author",41,36,0.532467532467532,"https://www.allsides.com/news-source/jerry-holbert-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"230","Jesse Jackson","left",1,"Author",312,54,0.852459016393443,"https://www.allsides.com/news-source/jesse-jackson","0",0,0,1,"Medium",NA,NA,NA,NA
"231","Jezebel","left",1,"News Media",63,21,0.75,"https://www.allsides.com/news-source/jezebel-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"232","Jim Morin (cartoonist)","left",1,"Author",26,9,0.742857142857143,"https://www.allsides.com/news-source/jim-morin-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"233","Jim Rutenberg","left-center",2,"Author",48,43,0.527472527472527,"https://www.allsides.com/news-source/jim-rutenberg","0",0,0,0,NA,NA,NA,NA,NA
"234","Joan Blades","left",1,"Author",41,74,0.356521739130435,"https://www.allsides.com/news-source/joan-blades","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"235","Joe Scarborough","right-center",4,"Author",131,548,0.192930780559647,"https://www.allsides.com/news-source/joe-scarborough","0",0,0,0,NA,NA,NA,NA,NA
"236","Joel Pett (cartoonist)","left",1,"Author",46,42,0.522727272727273,"https://www.allsides.com/news-source/joel-pett-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"237","John Boehner","right",5,"Author",153,235,0.394329896907216,"https://www.allsides.com/news-source/john-boehner","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"238","John Deering (cartoonist)","center",3,"Author",34,41,0.453333333333333,"https://www.allsides.com/news-source/john-deering-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"239","John Fund","right-center",4,"Author",79,97,0.448863636363636,"https://www.allsides.com/news-source/john-fund","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"240","John Gable, AllSides Founder","right-center",4,"Author",103,133,0.436440677966102,"https://www.allsides.com/news-source/john-gable","1",0,0,1,"Medium",NA,NA,NA,NA
"241","John K. Herr","right-center",4,"Author",37,32,0.536231884057971,"https://www.allsides.com/news-source/john-k-herr","checked",0,0,0,NA,NA,NA,NA,NA
"242","John Pudner","right",5,"Author",50,74,0.403225806451613,"https://www.allsides.com/news-source/john-pudner","0",0,0,1,"Medium",NA,NA,NA,NA
"243","John Stossel","right-center",4,"Author",454,373,0.548972188633616,"https://www.allsides.com/news-source/john-stossel","0",0,0,1,"Medium",NA,NA,NA,NA
"244","Jon Terbush","left-center",2,"Author",89,126,0.413953488372093,"https://www.allsides.com/news-source/jon-terbush","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"245","Jonah Goldberg","right",5,"Author",15,22,0.405405405405405,"https://www.allsides.com/news-source/jonah-goldberg-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"246","Jonathan Chait","left",1,"Author",79,72,0.52317880794702,"https://www.allsides.com/news-source/jonathan-chait","0",0,0,1,"Medium",NA,NA,NA,NA
"247","Jonathan Miller","left",1,"Author",53,57,0.481818181818182,"https://www.allsides.com/news-source/jonathan-miller","0",0,0,1,"Medium",NA,NA,NA,NA
"248","Journalist's Resource","center",3,"News Media",218,253,0.462845010615711,"https://www.allsides.com/news-source/journalists-resource","0",0,0,1,"Low or Initial Rating","https://twitter.com/journoresource","https://en.wikipedia.org/wiki/Shorenstein_Center_on_Media,_Politics_and_Public_Policy",NA,"journoresource"
"249","Juan Williams","left-center",2,"Author",293,270,0.520426287744227,"https://www.allsides.com/news-source/juan-williams","0",0,0,0,NA,NA,NA,NA,NA
"250","Jubilee Media","center",3,"News Media",108,82,0.568421052631579,"https://www.allsides.com/news-source/jubilee-media-bias","0",0,0,1,NA,NA,NA,NA,NA
"251","Judicial Watch","right-center",4,"News Media",969,1100,0.468342194296762,"https://www.allsides.com/news-source/judicial-watch","0",0,0,1,"Low or Initial Rating","https://twitter.com/@TomFitton","https://en.wikipedia.org/wiki/Judicial_Watch","https://www.facebook.com/JudicialWatch","TomFitton"
"252","Julian Zelizer","left-center",2,"Author",109,138,0.441295546558704,"https://www.allsides.com/news-source/julian-zelizer","checked",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"253","Kathleen Parker","right-center",4,"Author",161,100,0.616858237547893,"https://www.allsides.com/news-source/kathleen-parker","checked",0,0,0,NA,NA,NA,NA,NA
"254","KATU","center",3,"News Media",7,10,0.411764705882353,"https://www.allsides.com/news-source/katu-media-bias","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"255","Ken Catalino (cartoonist)","right",5,"Author",13,18,0.419354838709677,"https://www.allsides.com/news-source/ken-catalino-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"256","Kevin Kallaugher (cartoonist)","left-center",2,"Author",16,13,0.551724137931034,"https://www.allsides.com/news-source/kevin-kallaugher-cartoonist","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"257","Kimberley A. Strassel","right",5,"Author",128,87,0.595348837209302,"https://www.allsides.com/news-source/kimberley-strassel","checked",0,0,0,NA,NA,NA,NA,NA
"258","Kirsten Powers","left-center",2,"Author",57,39,0.59375,"https://www.allsides.com/news-source/kirsten-powers-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"259","KQED","center",3,"News Media",396,330,0.545454545454545,"https://www.allsides.com/news-source/kqed","0",0,0,0,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/KQED",NA,NA
"260","KSL","right",5,"News Media",804,603,0.571428571428571,"https://www.allsides.com/news-source/ksl","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"261","Lalo Alcaraz (cartoonist)","left",1,"Author",17,11,0.607142857142857,"https://www.allsides.com/news-source/lalo-alcaraz-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"262","Lanhee Chen","right",5,"Author",45,66,0.405405405405405,"https://www.allsides.com/news-source/lanhee-chen","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"263","Las Vegas Sun","left-center",2,"News Media",225,234,0.490196078431373,"https://www.allsides.com/news-source/las-vegas-sun","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"264","Laura Rose Junco","center",3,"Author",1,4,0.2,"https://www.allsides.com/news-source/laura-rose-junco-media-bias","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"265","Lauren Duca","left",1,"Author",58,31,0.651685393258427,"https://www.allsides.com/news-source/lauren-duca","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"266","Leesburg Today","right-center",4,"News Media",164,137,0.54485049833887,"https://www.allsides.com/news-source/leesburg-today","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"267","Left - Major Media Sources","left",1,"News Media",513,380,0.574468085106383,"https://www.allsides.com/news-source/left-major-publications","checked",0,0,0,NA,NA,NA,NA,NA
"268","Left Guest Commentaries","left",1,"Author",86,96,0.472527472527473,"https://www.allsides.com/news-source/left-guest-commentaries","checked",0,0,0,NA,NA,NA,NA,NA
"269","Leonard Pitts Jr","left",1,"Author",68,59,0.535433070866142,"https://www.allsides.com/news-source/leonard-pitts-jr","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"270","Lifehacker","center",3,"News Media",253,248,0.50499001996008,"https://www.allsides.com/news-source/lifehacker","0",0,0,1,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/Lifehacker",NA,NA
"271","Lisa Benson (cartoonist)","right",5,"Author",43,42,0.505882352941176,"https://www.allsides.com/news-source/lisa-benson-cartoonist","checked",0,0,0,NA,NA,NA,NA,NA
"272","Lisa Gable","right",5,"Author",20,17,0.540540540540541,"https://www.allsides.com/news-source/lisa-gable-media-bias","0",0,0,1,"Low or Initial Rating",NA,NA,NA,NA
"273","Listen First Project","allsides",NA,"News Media",82,61,0.573426573426573,"https://www.allsides.com/news-source/listen-first-project-media-bias","0",0,0,1,"High","https://twitter.com/ListenFirstProj",NA,"https://www.facebook.com/ListenFirstProject/","ListenFirstProj"
"274","Live Action News","right-center",4,"News Media",217,139,0.609550561797753,"https://www.allsides.com/news-source/live-action-news","0",0,0,1,"Low or Initial Rating","https://twitter.com/liveactionnews","https://en.wikipedia.org/wiki/Live_Action_(organization)","https://www.facebook.com/liveactionnewsonline","liveactionnews"
"275","Living Room Conversations","allsides",NA,"News Media",1031,1327,0.437234944868533,"https://www.allsides.com/news-source/living-room-conversations","0",0,0,1,"High","https://twitter.com/LivingRoomConvo",NA,"https://www.facebook.com/LivingRoomConversations/","LivingRoomConvo"
"276","Longmont Times-Call","left-center",2,"News Media",123,131,0.484251968503937,"https://www.allsides.com/news-source/longmont-times-call","0",0,0,0,NA,NA,NA,NA,NA
"277","Los Angeles Times","left-center",2,"News Media",4030,2974,0.575385494003427,"https://www.allsides.com/news-source/los-angeles-times-bias","0",0,0,1,"Low or Initial Rating","https://twitter.com/@TarynLuna","https://en.wikipedia.org/wiki/Los_Angeles_Times","https://www.facebook.com/latimes/","TarynLuna"
"278","Louisville Courier-Journal","left-center",2,"News Media",155,146,0.514950166112957,"https://www.allsides.com/news-source/louisville-courier-journal","0",0,0,0,"Low or Initial Rating",NA,"https://en.wikipedia.org/wiki/The_Courier-Journal",NA,NA
"279","Manhattan Institute","right-center",4,"Think Tank / Policy Group",147,235,0.384816753926702,"https://www.allsides.com/news-source/manhattan-institute","0",0,0,0,NA,NA,NA,NA,NA
"280","Marc A. Thiessen","right",5,"Author",210,169,0.554089709762533,"https://www.allsides.com/news-source/marc-thiessen","0",0,0,0,NA,NA,NA,NA,NA
"281","Mark Gerzon","center",3,"Author",18,22,0.45,"https://www.allsides.com/news-source/mark-gerzon","0",0,0,0,"Low or Initial Rating",NA,NA,NA,NA
"282","Mark Mix","right",5,"Author",87,59,0.595890410958904,"https://www.allsides.com/news-source/mark-mix","0",0,0,0,NA,NA,NA,NA,NA
